username,content
Akomeng6,"Nahkan... Di arab BBM sudah naik apa kadrun juga mau demo kesana?🤣
Ingat ya drun kata bang Faisal Basri meski pahit, kebijakan penyesuaian harga BBM bersubsidi harus bisa dipahami.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/8qg6152jmA"
Torrez_20_06,"Harga BBM di Indonesia saat ini masih lebih murah dibandingkan Arab Saudi. 

Langkah pemerintah untuk menaikkan harga sembari memberikan tambahan bantuan sosial sudah tepat.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/KOel58ThZk"
Ranisor,"Kebijakan penyesuaian harga BBM bersubsidi harus bisa  dipahami dengan baik. Penyesuaian harga merupakan. Fenomena global. Hampir semua negara termasuk  penghasil minyak besar  Arab Saudi menaikkan harga. 
#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/jXxJqKd8kz"
forjakeu,"Subsidi Perlu Cepat Diberikan Agar Tidak Terjadi Perlambatan Konsumsi Masyarakat

Pengalihan subsidi harus tepat sasaran mengingat kenaikan harga BBM berdampak langsung pada kenaikan biaya transportasi dan berpotensi naiknya harga.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/hWZuX5hMwj"
chinta_chintata,"Arab Saudi Sudah Terlebih Dahulu Menaikkan Harga BBM

Faisal Basri menilai, kebijakan penyesuaian harga BBM merupakan fenomena global yg hrs ditempuh hampir semua negara, termasuk negara produsen besar minyak seperti Arab Saudi. 

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/7WUBDXXJ4u"
Revenge00810455,"""Meski pahit, kebijakan penyesuaian harga BBM bersubsidi harus bisa dipahami dengan baik,"" kata Ekonom Faisal Basri dalam keterangan di Jakarta, Selasa (6/9/2022).

https://t.co/FqVfkOUgSh

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/Nj7bD4AJF5"
Andiriego_,"Setuju sama Faisal Basri, Kebijakan penyesuian harga BBM mau tidak mau harus dilakukan, semua negara mengalami
Arab saja yg raja minyak naikkan harga BBM-nya

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/6nyFIlYTxU"
detikfinance,Kenaikan tarif ojek online (ojol) mulai berlaku hari ini. Kementerian Perhubungan menaikkan tarif ojol seiring kenaikan harga bahan bakar minyak (BBM). https://t.co/Pj374ONFQW
Thavit_Amoura,"ENAM ORANG DITANGKAP KETIKA MELAKUKAN DEMO MENOLAK KENAIKAN HARGA BBM. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/tNaCKsFodd"
Youkari04,"Penolakan kenaikan harga bbm makin menguat

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/4BVxFfCEE4"
sossisagaya,"Ya, KAMMI kan onderbouw PKS. Fraksi yang menolak kenaikan harga BBM. Biasanya sih apa yang ditolak PKS, kebijakan itu udah benar. Misalnya, kasus RUU Kekerasan Seksual. 

Btw akhi, kader KAMMI boleh masuk Gelora nggak? Atau wajib masuk PKS? https://t.co/9AJZTr8Ttp"
HumasresBatang6,"KAPOLRES BATANG AKBP M. IRWAN SUSANTO, S.I.K., S.H., M.H.
dan anggota polres batang beserta mahasiswa Undip dan IAIN
MELAKSANAKAN BAKTI SOSIAL BERUPA
PEMBAGIAN SEMBAKO KEPADA MASYARAKAT KAB. BATANG
YANG TERDAMPAK  KENAIKAN HARGA BBM BERSUBSIDI https://t.co/T8Xn5njfEf"
ngeruh_aek,"@_MbakSri_ Ya ini momentai utk gabenar edy, biar dapat dukungan, politik mah ga herman. Biasa saja harga BBM, belasan ribu aja kita ga protes di kampung tp kita imbangi dgn kerja dan kerja,di kota malah keliatan Hobi   sX demo²an, apa efek Depresi berjemaahya 😀"
a_andhira,@AdiPurbalinga @aadhmusic Klo dikomen gitu jawabnya rokok 2 bungkus ga mempengaruhi kenaeakan harga2 laen. Beda dg harga BBM naek 3000 harga laennya bakalan ikut naek 😁
SayatiUmmi,"@caklis4 @RomitsuT Ya betuul yaitu buzzer PKI yg bergedok agama otak tikus dan bermulut babik🤣🤣🤣 hati2 dan waspada, gara2 itu harga BBM naik, dan kasus SAMBO masih mangkrak, dasar pemimpin tak beccus dan bodoh, kalau gak sanggup biar q ja yg ganti pemimpinx meskipun bodoh tapi jujur🤣🤣🤣 https://t.co/vlyabyFAj3"
Bunga_Que,"PKS dan Partai Demokrat tolak kenaikan harga bbm bersubsidi. 
#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/bbwNfS81j3"
KompasEkonomi,"Harga BBM Naik, BI Perkirakan Inflasi September 2022 Capai 0,77 Persen https://t.co/67AD4owDti"
bm_ismail,@dangiangkuning1 @Jack01599845 @PKSejahtera Pertanyaan itu semestinya ditujukan kepada pemerintah yg menaikkan harga BBM. Apakah mereka sudah pikirkan semua itu sebelum buat keputusan? Dan jika nantinya mereka menurunkan harga itu lagi apakah harga2 lain juga bisa mereka turunkan lagi? Pemerintah harus mikir komprehensif!
DtnIrayu,"Harga BBM naik, mending turu 😪 ga usah healing healing an, healinge turu ae 👍🥱😴 https://t.co/N6KwTZlsxJ"
